Name,MOID(AU)
D/1895 Q1 (Swift),1.0758910951480791
P/2020 T3 (PANSTARRS),1.0770481827191665
444P/WISE-PANSTARRS,1.0829669237359623
10P/Tempel,1.0854802631768996
332P-G/Ikeya-Murakami,1.0901495448182392
C/2022 N1 (Attard-Maury),1.0985809181703572
247P/LINEAR,1.099967985899956
430P/Scotti,1.1006640529480085
305P/Skiff,1.10543207472014
260P/McNaught,1.1091424020884737
125P/Spacewatch,1.1112430630225474
332P-D/Ikeya-Murakami,1.113821467899588
332P-B/Ikeya-Murakami,1.1146899886372177
112P/Urata-Niijima,1.114861526001986
332P-I/Ikeya-Murakami,1.1148984319346058
332P-E/Ikeya-Murakami,1.1149856170263008
383P/Christensen,1.116500572377098
332P-J/Ikeya-Murakami,1.1169810745317446
332P-H/Ikeya-Murakami,1.117319324495791
332P-C/Ikeya-Murakami,1.1173357904998908
332P-A/Ikeya-Murakami,1.1173652536076886
332P/Ikeya-Murakami,1.118391383716118
C/2022 D2 (Kowalski),1.119095789831793
146P/Shoemaker-LINEAR,1.1230971835302181
P/2012 O1 (McNaught),1.1237011968815591
332P-F/Ikeya-Murakami,1.1259149762792604
C/2021 T4 (Lemmon),1.1293358122958859
81P/Wild,1.1319998170624528
9P/Tempel,1.1350064285334893
P/2001 Q6 (NEAT),1.1370271446364162
P/2005 J1 (McNaught),1.145976538203842
412P/WISE,1.1617717656670374
P/2019 T5 (ATLAS),1.1653728845266815
192P/Shoemaker-Levy,1.1733721773421506
227P/Catalina-LINEAR,1.179508962425446
22P/Kopff,1.182309588304507
335P/Gibbs,1.1838286995425014
C/2019 A9 (PANSTARRS),1.1860131045580973
C/2022 F2 (NEOWISE),1.1860497644486805
157P-B/Tritton,1.1895688445580093
C/2019 B1 (Africano),1.1896529507039544
265P/LINEAR,1.1948817685708377
P/2014 C1 (TOTAS),1.195757686875373
275P/Hermann,1.1968279303129234
114P/Wiseman-Skiff,1.1997906784644492
157P/Tritton,1.2000574096269012
106P/Schuster,1.203170666835314
71P/Clark,1.2046993498749081
212P/NEAT,1.2057779897532368
80P/Peters-Hartley,1.2074668317920816
C/2018 W1 (Catalina),1.2095629396496586
38P/Stephan-Oterma,1.2143637912340537
60P/Tsuchinshan,1.2160833112017488
205P/Giacobini,1.2200612887034086
C/2022 W3 (Leonard),1.2229013137518698
76P/West-Kohoutek-Ikemura,1.227030322890759
P/2010 A3 (Hill),1.227886231462836
230P/LINEAR,1.2302103302613445
148P/Anderson-LINEAR,1.2357395721109659
239P/LINEAR,1.237045753475941
220P/McNaught,1.2396762165512762
154P/Brewington,1.2474628447094003
